SiteId,UnitId,ReadDate,Salinity in ppt,Dissolved Oxygen milligram per lit,pH ,Secchi Depth meters,Water Depth meters,Water Temp Celsius,Air Temp Celsius,Air Temp Fahrenheit,Time 24 clcok,Field Technician,DateVerified,WhoVerified
Bay,,06-03-1996,3,8.7,8.5,0.35,0.5,17,,59.9,21.36,"Strader, Pease, Feldman",,
Bay,,06-10-1996,3,8,8.1,0.45,1.02,24,,67.1,2.24,"Strader, Pease, Feldman",,
Bay,,6/17/1996,3,8.8,8.4,0.45,0.75,27,,77,0,"Strader, Pease, Feldman",,
Bay,,6/24/1996,3,8,8.6,0.55,0.8,26.5,,77,0,"Strader, Pease, Feldman",,
Bay,,08-02-1996,2.5,6.4,7.3,0.4,0.8,26,,,0,"Strader, Pease, Feldman",,
Bay,,08-11-1996,3.1,,7.6,0.3,0.4,28.5,,,12,"Strader, Pease, Feldman",,
Bay,,8/18/1996,3,4.65,7.3,0.3,0.68,27.5,,,12,"Strader, Pease, Feldman",,
Bay,,09-01-1996,2.8,2,7.4,0.28,0.4,25,,,0,"Strader, Pease, Feldman",,
Bay,,9/15/1996,3,2,,0.3,0.8,23.5,,,12,"Strader, Pease, Feldman",,
Bay,,9/22/1996,3.1,2,7.4,0.4,0.9,22,,,0,"Strader, Pease, Feldman",,
Bay,,9/28/1996,3.2,1.7,7.5,0.43,0.88,23,,,0,"Strader, Pease, Feldman",,
Bay,,10-05-1996,4.4,9.9,7.2,0.3,0.45,15.5,,62.96,23.02,"Strader, Pease, Feldman",,
Bay,,10-11-1996,2.4,8.69,7.2,0.3,0.75,17.5,,58.64,15.21,"Strader, Pease, Feldman",,
Bay,,10/20/1996,2.2,9.71,7.6,0.35,0.73,15,,56.48,11.31,"Strader, Pease, Feldman",,
Bay,,10/26/1996,2.8,8.15,6.7,0.38,0.75,19,,67.28,6.43,"Strader, Pease, Feldman",,
Bay,,11-03-1996,2,6.5,6.8,0.48,0.58,10.1,,48.74,17.45,"Strader, Pease, Feldman",,
Bay,,11-12-1996,1.9,11.43,7.1,0.45,0.55,6.2,,41.414,9.56,"Strader, Pease, Feldman",,
Bay,,11/17/1996,1.8,11.8,6.8,0.28,0.3,9.1,,51.44,10.33,"Strader, Pease, Feldman",,
Bay,,12-01-1996,1.9,10.9,6.9,0.4,0.6,11,,63.5,12,"Strader, Pease, Feldman",,
Bay,,12-08-1996,1.6,11.2,6.9,0.4,0.65,9.1,,51.08,1.55,"Strader, Pease, Feldman",,
Bay,,12/21/1996,1.8,12.25,6.9,0.31,0.61,5.21,,38.3,7.12,"Strader, Pease, Feldman",,
Bay,,01-05-1997,2,9.2,6.7,0.2,0.7,13.5,,63.32,7.4,"Pease, Strader",,
Bay,,1/19/1997,1.3,13.3,7,0.3,0.3,0,,,0,"Pease, Strader",,
Bay,,02-01-1997,1.5,10.9,6.6,2.5,3.5,10.1,,62.06,1.26,"Pease, Strader",,
Bay,,2/15/1997,1.3,10.55,6.6,0.3,0.6,8.2,,41,0,"Pease, Strader",,
Bay,,03-03-1997,1.8,9.45,6.9,0.3,0.54,14.1,,48.02,0.28,"Pease, Strader",,
Bay,,3/15/1997,1.2,10.2,6.5,0.2,0.52,13.2,,47.66,15.5,"Pease, Strader",,
Bay,,4/13/1997,1.2,9.8,6.9,0.28,0.74,17.1,,68.18,4.19,"Pease, Strader",,
Bay,,4/19/1997,1.3,10.8,6.7,0.2,0.49,11,,59.54,12.57,"Pease, Strader",,
Bay,,4/26/1997,1.1,10.1,6.8,0.25,0.55,15.5,,59.36,8.38,"Pease, Strader",,
Bay,,05-04-1997,1.1,9.73,6.5,0.3,0.88,18,,61.52,12.28,"Pease, Strader",,
Bay,,05-12-1997,1.5,9.5,7.3,0.3,0.67,21,,,0,"Pease, Strader",,
Bay,,5/16/1997,1.3,10.2,6.6,0.35,0.7,20.5,,68.36,8.38,"Pease, Strader",,
Bay,,5/24/1997,1.6,9.9,7.5,0.38,0.5,23,,72.14,3.21,"Pease, Strader",,
Bay,,5/30/1997,1.6,9.5,8,,0.2,23,,,0,"Pease, Strader",,
Bay,,06-08-1997,1,10.5,6.3,0.1,0.15,18,,61.7,16.48,"Pease, Strader",,
Bay,,6/21/1997,1.5,7.5,6.5,0.4,0.7,26.5,,84.02,0.28,"Pease, Strader",,
Bay,,6/27/1997,1.5,8.5,8,0.5,0.62,29,,78.4,9.36,"Pease, Strader",,
Bay,,07-06-1997,1.5,7.6,6.8,0.48,0.68,27,,76.46,11.02,"Pease, Strader",,
Bay,,07-12-1997,1.5,8.55,6.4,0.4,0.4,27,,80.06,1.26,"Pease, Strader",,
Bay,,7/20/1997,1.6,8.7,7.4,0.39,0.58,27.5,,83.48,11.31,"Pease, Strader",,
Bay,,7/27/1997,1.5,9.7,7.8,0.38,0.69,27,,86.72,17.16,"Pease, Strader",,
Bay,,7/29/1997,1.5,8.1,8,0.4,0.65,28,,82,0,"Pease, Strader",,
Bay,,08-09-1997,1.7,9.8,8.6,0.38,0.5,27.5,,78.62,14.52,"Pease, Strader",,
Bay,,8/15/1997,1.7,7.7,8.2,0.45,0.63,8.4,,82.6,14.24,"Pease, Strader",,
Bay,,8/22/1997,1.7,9,8.2,0.38,0.67,25.5,,77.7,16.48,"Pease, Strader",,
Bay,,8/30/1997,1.8,9.6,8.1,0.32,0.45,26,,78.98,23.31,"Pease, Strader",,
Bay,,9/14/1997,1.9,9.6,7.9,0.21,0.61,24,,78.62,14.52,"Pease, Strader",,
Bay,,10-05-1997,1.9,10.25,8.2,0.28,0.65,21.6,,74.12,2.52,"Pease, Strader",,
Bay,,10/26/1997,,9.6,7.5,0.35,0.61,,,62.6,14.24,"Pease, Strader",,
Bay,,11-09-1997,1.8,10.6,6.5,0.35,0.65,12,,51.62,14.52,"Pease, Strader",,
Bay,,12-06-1997,1.5,14.3,6.9,0.3,0.45,6,,40.1,2.24,"Pease, Strader",,
Bay,,01-04-1998,1.5,12.3,6.4,0.25,0.5,8.9,,57.2,4.48,Strader,,
Bay,,1/25/1998,1.2,12.5,6.5,0.3,0.6,8.1,,45.86,20.38,Strader,,
Bay,,2/22/1998,1.1,10.7,6.3,0.25,0.75,10.5,,,12,Strader,,
Bay,,3/22/1998,1,11.1,6.4,0.25,0.71,11,,48.74,17.45,Strader,,
Bay,,4/19/1998,1,10.8,6.9,0.3,0.78,17,,,0,Strader,,
Bay,,05-02-1998,1,10.9,8.2,0.35,0.78,21.5,,72.5,12,Strader,,
Bay,,5/17/1998,1.1,9.3,6.8,0.25,0.48,23.5,,80.78,18.43,Strader,,
Bay,,06-07-1998,1.1,10,7.2,0.4,0.5,22.9,,,21.36,Strader,,
Bay,,6/14/1998,0.9,9.7,6.8,0.4,0.65,26,,79.88,21.07,Strader,,
Bay,,07-05-1998,1,8.4,6.9,0.32,0.65,26,,82.04,0.57,Strader,,
Bay,,7/25/1998,0.9,8.6,7.3,0.4,0.65,29,,81.32,7.4,Strader,,
Bay,,8/23/1998,1,11,8.8,0.3,0.62,28,,85.1,2.24,Strader,,
Bay,,09-12-1998,0.9,10.8,8.5,0.28,0.66,25,,87.1,2.24,Strader,,
Bay,,11-02-1998,1.1,10,6.9,0.3,0.35,14,,58.28,6.43,Strader,,
Bay,,11/21/1998,1,10.9,7.3,0.3,0.48,15,,57.56,13.26,Strader,,
A,,08-11-1999,3,2.6,7.7,0.6,0.6,26,,80.96,23.02,Not Recorded,,
A,,8/18/1999,3,1.6,8.7,,,31,,91.4,9.36,Not Recorded,,
A,,09-08-1999,1.8,1.35,8.2,0.4,1,28,,76.6,14.24,Not Recorded,,
A,,10/15/1999,0.1,5.65,7.3,0.6,0.8,20,,,0,Not Recorded,,
A,,11-10-1999,0,6.7,7.6,0.65,0.95,18,,,0,Not Recorded,,
A,,12/16/1999,,4.7,8.2,0.6,0.8,,,52,0,Not Recorded,,
A,,12/30/1999,1,7.8,6.9,0.65,0.85,8,,42.8,19.12,Not Recorded,,
B,,08-11-1999,2.5,3.1,8.1,0.25,0.25,27,,80.96,23.02,Not Recorded,,
B,,8/18/1999,3,2.2,8.9,,,30,,87.8,19.12,Not Recorded,,
B,,09-08-1999,0.9,3.6,8.2,0.3,0.3,32,,,0,Not Recorded,,
B,,10/15/1999,1,4.7,7,0.3,0.3,17,,,0,Not Recorded,,
B,,10/27/1999,,,7.7,0.25,0.25,,,72,0,Not Recorded,,
B,,11-10-1999,1,6.3,7.4,0.4,0.4,16,,,0,Not Recorded,,
B,,12/16/1999,,3.25,7.9,0.21,0.21,,,51,0,Not Recorded,,
B,,12/30/1999,0.2,6.1,6.9,0.25,0.25,7,,41,0,Not Recorded,,
C,,08-11-1999,3,1.9,8.5,0.5,0.5,27,,84.2,4.48,Not Recorded,,
C,,8/18/1999,0.1,1.9,8.8,,,27,,82.4,9.36,Not Recorded,,
C,,09-08-1999,1,2.4,8,5.8,5.8,34,,,0,Not Recorded,,
C,,9/22/1999,1,3.7,7.8,0.8,0.8,18,,60,0,Not Recorded,,
C,,10/15/1999,0.1,5.5,6.6,0.55,0.55,19,,,0,Not Recorded,,
C,,10/27/1999,0,3.7,7.7,0.55,0.55,43,,72,0,Not Recorded,,
C,,11-10-1999,0.2,10,7.8,0.6,0.6,17,,,0,Not Recorded,,
C,,12/16/1999,,4.3,7.9,0.7,0.7,,,50,0,Not Recorded,,
C,,12/30/1999,0.1,7.3,6.9,0.7,0.7,5,,41,0,Not Recorded,,
D,,08-11-1999,0.2,2.5,8.6,0.63,1.25,27,,85.46,11.02,Not Recorded,,
D,,8/18/1999,3,2.8,8,,,28,,87.8,N/A,Not Recorded,,
D,,09-08-1999,0,1.5,7.4,1.75,1.85,34.5,,,12,Not Recorded,,
D,,9/22/1999,0,1.9,7.6,0.5,1.65,18,,,0,Not Recorded,,
D,,10/15/1999,0,3.25,7.3,0.55,1.55,17,,,0,Not Recorded,,
D,,10/27/1999,0.4,3.4,7.4,0.95,1.35,42.5,,72,0,Not Recorded,,
D,,11-10-1999,0,6.5,8,1.05,1.5,15,,60,0,Not Recorded,,
D,,11/30/1999,0,6.45,8.8,1.15,1.35,,,37.2,4.48,Not Recorded,,
D,,12/16/1999,0,7.8,8.9,0.8,1.4,11,,49,0,Not Recorded,,
D,,12/30/1999,0,8.25,8,1.1,1.4,5,,41,0,Not Recorded,,
Bay,,01-09-1999,1.2,11.2,7.2,0.28,0.5,9,,58.82,19.4,"Strader, S. Poe",,
Bay,,1/23/1999,1.1,11.2,6.7,0.28,0.6,15,,,0,"Strader, S. Poe",,
Bay,,08-05-1999,1.8,1.8,9.5,0.35,0.35,27,,,0,"Strader, S. Poe",,
Bay,,08-11-1999,3,7,9.2,0.4,0.65,28,,86.54,12.57,"Strader, S. Poe",,
Bay,,8/18/1999,3,3,9.1,,,29,,87.8,19.12,"Strader, S. Poe",,
Bay,,09-08-1999,2.2,1.9,8.5,0.9,0.95,28,,76.6,14.24,"Strader, S. Poe",,
Bay,,10/15/1999,2,4.8,5.7,0.42,0.5,16,,65,0,"Strader, S. Poe",,
Bay,,10/27/1999,0.3,4.3,8.6,0.5,0.5,24.5,,,N/A,"Strader, S. Poe",,
Bay,,11-10-1999,1,7.5,8.1,5.5,5.5,14,,60,0,"Strader, S. Poe",,
Bay,,12/16/1999,1,8.7,9.1,0.5,0.85,11,,48,0,"Strader, S. Poe",,
Bay,,12/30/1999,0.1,6.1,7,0.25,0.45,5,,41,0,"Strader, S. Poe",,
A,,2/17/2000,0.08,,8,0.95,1.05,9,,43,0,Not Recorded,,
A,,2/29/2000,1.5,5,8.1,0.9,1.1,15,,58,0,Not Recorded,,
A,,3/13/2000,1,,7.5,0.85,0.88,14,,48,0,Not Recorded,,
A,,04-03-2000,1,,7,0.55,1.05,19,,,0,Not Recorded,,
A,,05-01-2000,0.5,3.6,7.1,0.9,1,23,,75,0,Not Recorded,,
A,,5/15/2000,1,6.4,8.2,0.85,0.9,27,,71,0,Not Recorded,,
A,,5/30/2000,0.5,,7.8,0.65,0.65,15,,58,0,Not Recorded,,
A,,6/13/2000,1,,8,0.45,0.55,27,,72,0,Not Recorded,,
A,,6/26/2000,1,5.5,8,0.55,0.55,30.5,,84.2,,Not Recorded,,
A,,07-11-2000,0.8,,8.1,0.37,0.8,31,,80.6,14.24,Not Recorded,,
A,,7/24/2000,0.05,6.1,8,0.55,0.55,25,,78,0,Not Recorded,,
A,,08-10-2000,0,,6.4,0.65,0.65,29,,83,0,Not Recorded,,
A,,8/22/2000,0,5.2,7.5,0.65,0.65,25,,72,0,Not Recorded,,
A,,09-06-2000,0,,8,0.9,0.9,21,,72,0,Not Recorded,,
A,,9/18/2000,0,5.8,,0.4,0.75,22,,70,0,Not Recorded,,
A,,10-04-2000,1.1,8.7,8.3,0.55,0.7,35,,84,0,Not Recorded,,
A,,10/26/2000,1,,8.7,0.63,0.63,21,,67,0,Not Recorded,,
A,,11-01-2000,0,9.75,8.2,0.65,0.65,16,,58,0,Not Recorded,,
A,,11/14/2000,1,,7.5,0.5,0.75,13,,55,0,Not Recorded,,
A,,12-11-2000,1,,8,0.75,0.75,7.5,,45,0,Not Recorded,,
A,,12/18/2000,1,9.9,8.2,0.7,0.7,9,,44,0,Not Recorded,,
B,,02-02-2000,1,6.4,7.1,0.35,0.35,5,,46,0,Not Recorded,,
B,,2/17/2000,1.2,,7.8,0.4,0.4,10,,43,0,Not Recorded,,
B,,2/29/2000,1.2,,7.8,0.37,0.37,14,,58,0,Not Recorded,,
B,,3/13/2000,1.5,10,7.8,0.3,0.3,12.5,,48,0,Not Recorded,,
B,,04-03-2000,1.5,,7,0.35,0.35,21,,,0,Not Recorded,,
B,,05-01-2000,1,3.5,7.5,0.15,0.15,25.5,,75,0,Not Recorded,,
B,,5/15/2000,1.5,7.6,9.7,4,4.5,30,,71,0,Not Recorded,,
B,,5/30/2000,1,,8,0.2,0.2,15,,58,0,Not Recorded,,
B,,6/13/2000,1,,8.6,0.15,0.4,27,,72,0,Not Recorded,,
B,,6/26/2000,1,8.3,8.8,0.05,0.1,30,,82.4,9.36,Not Recorded,,
B,,07-11-2000,1,,7.6,0.15,0.15,31,,87.8,19.12,Not Recorded,,
B,,7/24/2000,1,1.8,7.5,0,0.15,24,,78,0,Not Recorded,,
B,,08-10-2000,1,,6.3,0.23,0.23,29,,83,0,Not Recorded,,
B,,8/22/2000,0,2.4,7.8,0.35,0.35,22,,71,0,Not Recorded,,
B,,09-06-2000,0,,7.9,0.45,0.45,21,,72,0,Not Recorded,,
B,,9/18/2000,0.8,7.6,7.9,0.1,0.1,20,,70,0,Not Recorded,,
B,,10-04-2000,1,8.5,8.5,0.1,0.1,30,,84,0,Not Recorded,,
B,,10/26/2000,2,,8.7,0.1,0.25,22,,67,0,Not Recorded,,
B,,11-01-2000,1,5.5,8.1,0.1,0.11,14,,58,0,Not Recorded,,
B,,11/14/2000,1.5,,7.8,0.35,0.35,14,,55,0,Not Recorded,,
B,,12-11-2000,1.5,,7.8,0.3,0.65,8,,45,0,Not Recorded,,
B,,12/18/2000,1.5,7.2,7.9,0.2,0.4,7.5,,43.4,9.36,Not Recorded,,
C,,02-02-2000,1,5.9,6.9,0.65,0.81,4,,45,0,Not Recorded,,
C,,2/17/2000,1,,7.6,0.85,0.85,9.9,,43,0,Not Recorded,,
C,,2/29/2000,0.9,,7.9,0.85,0.85,16,,60,0,Not Recorded,,
C,,3/13/2000,1,,8.6,0.7,0.83,14,,45,0,Not Recorded,,
C,,04-03-2000,1,,8.4,0.7,0.9,21,,,0,Not Recorded,,
C,,05-01-2000,0.5,,7.8,0.6,0.6,,,75,0,Not Recorded,,
C,,5/15/2000,1,,9.3,0.4,0.45,27,,71,0,Not Recorded,,
C,,5/30/2000,0.5,7.9,8,0.5,0.5,15,,58,0,Not Recorded,,
C,,6/13/2000,1,8.2,9.5,0.4,0.4,28,,73,0,Not Recorded,,
C,,6/26/2000,1,,8.8,0.5,0.5,29,,82.4,9.36,Not Recorded,,
C,,07-11-2000,0.01,5.7,8.2,0.5,0.5,32,,80.6,14.24,Not Recorded,,
C,,7/24/2000,0.5,,8,0.45,0.45,25,,78,0,Not Recorded,,
C,,08-10-2000,0,6.3,6.7,0.6,0.6,29,,83,0,Not Recorded,,
C,,8/22/2000,0,,8.3,0.5,0.5,24,,71,0,Not Recorded,,
C,,09-06-2000,0,6.3,8.1,0.55,0.55,21,,72,0,Not Recorded,,
C,,9/18/2000,0,,8.1,0.35,0.35,21,,68,0,Not Recorded,,
C,,10-04-2000,1.5,,8.1,0.35,0.35,26,,83,0,Not Recorded,,
C,,10/26/2000,0.5,6.2,8.4,0.25,0.25,21.5,,67,0,Not Recorded,,
C,,11-01-2000,1,,8.3,0.4,0.4,15,,58,0,Not Recorded,,
C,,11/14/2000,1,6,7.4,0.3,0.3,13,,55,0,Not Recorded,,
C,,12-11-2000,1,6.5,8.1,0.1,0.1,7.5,,45,0,Not Recorded,,
C,,12/18/2000,1,,7.9,0.35,0.35,11,,43.4,9.36,Not Recorded,,
D,,02-02-2000,0,7.1,7.2,1.4,1.4,4,,45,0,Not Recorded,,
D,,2/17/2000,0,,8.5,1.45,1.45,9.5,,43,0,Not Recorded,,
D,,2/29/2000,0,6.9,7,0.9,0.95,14,,62,0,Not Recorded,,
D,,3/13/2000,0,,8.4,0.85,0.95,14,,45,0,Not Recorded,,
D,,04-03-2000,0,7.4,8.6,1.1,1.35,20,,,0,Not Recorded,,
D,,05-01-2000,0,,7.6,1.1,1.6,19.5,,75,0,Not Recorded,,
D,,5/15/2000,0,,8.3,0.65,1.55,27,,71,0,Not Recorded,,
D,,5/30/2000,0,6.3,8.2,0.1,1.6,15,,50,0,Not Recorded,,
D,,6/13/2000,0,6.3,7.7,0.75,1.4,,,78.8,19.12,Not Recorded,,
D,,6/26/2000,0,,8.2,0.8,1.6,29,,80.6,14.24,Not Recorded,,
D,,07-11-2000,0,4.4,8.6,0.65,1.6,27,,78.8,19.12,Not Recorded,,
D,,7/24/2000,0,,8.1,0.7,0.85,25,,78,0,Not Recorded,,
D,,08-10-2000,0,4.1,5.6,0.65,1.6,28,,83,0,Not Recorded,,
D,,8/22/2000,0,,8.3,0.6,1.5,24,,71,0,Not Recorded,,
D,,09-06-2000,0,5,8.5,0.7,1.65,21,,71.6,14.24,Not Recorded,,
D,,9/18/2000,0,,8.6,0.6,1.52,20,,68,0,Not Recorded,,
D,,10-04-2000,1,,8.6,0.8,1.8,27,,83,0,Not Recorded,,
D,,10/26/2000,0,8.5,8.8,0.7,1.05,19.5,,66,0,Not Recorded,,
D,,11-01-2000,0,,8.8,1.2,1.4,14.5,,58,0,Not Recorded,,
D,,11/14/2000,0,6.2,9,0.7,1.4,13,,55,0,Not Recorded,,
D,,12-11-2000,0,10,9.3,1.1,1.3,7,,45,0,Not Recorded,,
D,,12/18/2000,0,,8.8,1.05,1.45,10,,43.2,4.48,Not Recorded,,
Bay,,02-02-2000,1.5,6.1,7.2,0.05,0.4,3,,43,0,S. Poe,,
Bay,,2/17/2000,1,,7.5,0.15,0.35,10,,43,0,S. Poe,,
Bay,,2/29/2000,1.2,9,7,0.25,0.35,,,17,0,S. Poe,,
Bay,,3/13/2000,1.5,9.75,8.6,0.45,0.5,12,,45,0,S. Poe,,
Bay,,04-03-2000,1.5,7.6,9.1,0.3,0.7,18,,,0,S. Poe,,
Bay,,05-01-2000,1,4.1,7.9,0.3,0.65,19.5,,75,0,S. Poe,,
Bay,,5/15/2000,1.2,8,8.7,0.4,0.45,23,,71,0,S. Poe,,
Bay,,5/30/2000,,,,,,,,57.9,N/A,S. Poe,,
Bay,,6/13/2000,1.5,7.3,8.4,0.4,0.64,26,,73.7,16.48,S. Poe,,
Bay,,6/26/2000,1.5,7,8.5,0.5,0.85,26,,83,0,S. Poe,,
Bay,,07-11-2000,1,5,8.6,0.4,0.8,27,,77,0,S. Poe,,
Bay,,7/24/2000,1,6.4,8.2,0.4,0.55,25,,78,0,S. Poe,,
Bay,,08-10-2000,1.5,6,8.1,0.6,0.68,28,,83,0,S. Poe,,
Bay,,8/22/2000,1,7.1,8.7,0.3,0.45,22,,71,0,S. Poe,,
Bay,,09-06-2000,1,5.2,8.6,0.2,0.45,20,,72,0,S. Poe,,
Bay,,9/18/2000,1,5.5,,0.35,0.55,20,,67,0,S. Poe,,
Bay,,10-04-2000,0.8,7.3,8.6,0.3,0.7,27,,83,0,S. Poe,,
Bay,,10/26/2000,1,5.3,8.8,0.26,0.35,19.5,,66,0,S. Poe,,
Bay,,11-01-2000,1,4.8,9.2,0.3,0.3,16,,57.7,16.48,S. Poe,,
Bay,,11/14/2000,1,7.8,9.9,0.4,0.6,13,,55,0,S. Poe,,
Bay,,12-11-2000,1,10,,0.3,0.5,7.5,,45,0,S. Poe,,
Bay,,12/18/2000,1,9.4,8.8,0.16,,9.5,,43.2,4.48,S. Poe,,
A,,01-08-2001,1,,7.9,0.8,0.8,5,,44,0,Not Recorded,,
A,,1/23/2001,1,5.7,8.4,0.7,0.7,5,,38.8,19.12,Not Recorded,,
A,,02-06-2001,1,,8,0.8,0.8,11,,52,0,Not Recorded,,
A,,2/20/2001,1,8.1,7.8,0.75,0.75,10,,62,0,Not Recorded,,
A,,3/15/2001,0.5,7.7,8,0.65,0.85,13.5,,52,0,Not Recorded,,
A,,3/26/2001,1,,7.4,0.85,0.85,10,,41,0,Not Recorded,,
A,,04-09-2001,1,6.8,,0.6,0.95,22,,72,0,Not Recorded,,
A,,4/24/2001,1,,8.4,0.8,0.8,21,,72,0,Not Recorded,,
A,,05-08-2001,1,2.5,9.1,0.2,0.65,22,,65,0,Not Recorded,,
A,,5/22/2001,3,,8.2,0.45,0.8,24,,74,0,Not Recorded,,
A,,06-05-2001,1,5.5,8.7,0.8,0.8,24,,71,0,Not Recorded,,
A,,6/18/2001,1,,8.6,0.75,0.75,28,,78,0,Not Recorded,,
A,,07-05-2001,3,4.2,8.3,0.4,0.65,27,,76,0,Not Recorded,,
A,,7/20/2001,1.5,4.9,9.2,0.5,0.5,26,,72,0,Not Recorded,,
A,,08-08-2001,3,4.5,8.5,0.35,1.1,30,,88,0,Not Recorded,,
A,,8/20/2001,3.3,,7.9,0.4,1.3,27.5,,80,0,Not Recorded,,
A,,09-05-2001,3,3,0.3,0.35,1.1,26,,76,0,Not Recorded,,
A,,9/18/2001,2,3.6,8.9,0.65,0.9,24,,77,0,Not Recorded,,
A,,10-02-2001,2,,7.8,0.5,1.1,21,,73,0,Not Recorded,,
A,,10/22/2001,3,3.8,8.4,0.6,0.85,19,,70,0,Not Recorded,,
A,,11-06-2001,3,4.9,8.2,0.6,0.8,14,,52.9,21.36,Not Recorded,,
A,,11/20/2001,4,6.3,,0.2,0.85,12,,52,0,Not Recorded,,
A,,12-04-2001,,6.3,8.1,0.5,1,18,,55,0,Not Recorded,,
B,,01-08-2001,2,,7.9,0.42,0.42,6,,44,0,Not Recorded,,
B,,1/23/2001,1,7.8,8,0.3,0.3,6,,38.8,19.12,Not Recorded,,
B,,02-06-2001,1.5,,7.8,0.25,0.25,10,,52,0,Not Recorded,,
B,,2/20/2001,1.5,9.3,7.7,0.4,0.4,12,,62,0,Not Recorded,,
B,,3/15/2001,,8.1,7.8,0.4,0.4,,,52,0,Not Recorded,,
B,,3/26/2001,1.5,,7.7,0.6,0.6,9,,41,0,Not Recorded,,
B,,04-09-2001,1.5,6.5,,0.3,0.3,27,,72,0,Not Recorded,,
B,,4/24/2001,2,,8,0.2,0.2,22,,72,0,Not Recorded,,
B,,05-08-2001,2,3,8.7,0.01,0.01,25,,65,0,Not Recorded,,
B,,5/22/2001,3,,8.3,0.1,0.1,26,,74,0,Not Recorded,,
B,,06-05-2001,2,4.1,8.5,0.1,0.1,24,,71,0,Not Recorded,,
B,,6/18/2001,2,,8.3,0.1,0.1,29,,78,0,Not Recorded,,
B,,07-05-2001,3,3.9,8.1,0.23,0.23,,,75,0,Not Recorded,,
B,,7/20/2001,,,,,,,,73,0,Not Recorded,,
B,,08-08-2001,3,2.3,8.3,0.2,0.2,30,,84,0,Not Recorded,,
B,,8/20/2001,3,,7.7,0.3,0.3,27,,80,0,Not Recorded,,
B,,09-05-2001,2.5,0,7.8,0.1,0.25,25,,76,0,Not Recorded,,
B,,9/18/2001,3,1.5,8.5,0.25,0.35,23,,78,0,Not Recorded,,
B,,10-02-2001,3,,7.7,0.3,0.3,23,,73,0,Not Recorded,,
B,,10/22/2001,3,2.6,8.2,0.2,0.2,20,,69,0,Not Recorded,,
B,,11-06-2001,3.5,4.2,8.3,0.2,0.2,13,,52.9,21.36,Not Recorded,,
B,,11/20/2001,3,5.3,,0.1,0.3,13,,52,0,Not Recorded,,
B,,12-04-2001,,5.9,8.2,0.15,0.2,16,,55,0,Not Recorded,,
C,,01-08-2001,1,5.9,8.3,0.55,0.55,5,,43,N/A,Not Recorded,,
C,,1/23/2001,1,,8.3,0.6,0.6,4,,38.8,19.12,Not Recorded,,
C,,02-06-2001,1,6,7.9,0.6,0.6,10,,52,0,Not Recorded,,
C,,2/20/2001,1,,7.7,0.55,0.55,12,,62,0,Not Recorded,,
C,,3/15/2001,1,,7.8,0.3,0.6,13,,52,0,Not Recorded,,
C,,3/26/2001,1,9.9,8.3,0.6,0.6,9,,41,0,Not Recorded,,
C,,04-09-2001,1,,,0.55,0.55,23,,70,0,Not Recorded,,
C,,4/24/2001,1,4.8,8.1,0.4,0.4,23,,73,0,Not Recorded,,
C,,05-08-2001,1,,8.5,0.4,0.4,19.5,,64,0,Not Recorded,,
C,,5/22/2001,3,2.5,7.6,0.32,0.32,24,,72,0,Not Recorded,,
C,,06-05-2001,2,,8.3,0.3,0.3,23,,71,0,Not Recorded,,
C,,6/18/2001,2,4,8.4,0.3,0.3,27,,77,0,Not Recorded,,
C,,07-05-2001,2.5,,7.9,0.25,0.25,26,,75,0,Not Recorded,,
C,,7/20/2001,,,,,,,,,0.02,Not Recorded,,
C,,08-08-2001,3,,8.5,0.25,0.25,31,,82,0,Not Recorded,,
C,,8/20/2001,2.5,5.5,7.9,0.3,0.3,28,,80,0,Not Recorded,,
C,,09-05-2001,3,,7.9,0.2,0.2,25,,76,0,Not Recorded,,
C,,9/18/2001,2,,8.7,0.2,0.2,24,,78,0,Not Recorded,,
C,,10-02-2001,3,6.1,8.3,0.25,0.25,23,,73,0,Not Recorded,,
C,,10/22/2001,3,,8.2,0.25,0.25,20,,68,0,Not Recorded,,
C,,11-06-2001,3,,8.3,0.3,0.3,13,,52.9,21.36,Not Recorded,,
C,,11/20/2001,3,,,0.2,0.2,13,,52,0,Not Recorded,,
C,,12-04-2001,,,8.3,0.15,0.15,19,,54.7,16.48,Not Recorded,,
D,,01-08-2001,0,9.7,8.8,1,1.25,6,,43,0,Not Recorded,,
D,,1/23/2001,0,,9.2,1.1,1.35,5,,38.8,19.12,Not Recorded,,
D,,02-06-2001,0,8.4,8.7,1.1,1.4,10,,52,0,Not Recorded,,
D,,2/20/2001,0,,8.6,0.65,0.95,14,,62,0,Not Recorded,,
D,,3/15/2001,0,,8.7,0.6,1.4,13,,52,0,Not Recorded,,
D,,3/26/2001,0,9.6,9,0.7,1.5,10,,41,0,Not Recorded,,
D,,04-09-2001,0,,,0.65,1.1,22,,70,0,Not Recorded,,
D,,4/24/2001,0,4.1,9.3,0.8,1.4,19.5,,72,0,Not Recorded,,
D,,05-08-2001,0,,8.7,0.7,1.3,19.5,,64,0,Not Recorded,,
D,,5/22/2001,0,4.9,8.1,0.7,1.2,23,,71,0,Not Recorded,,
D,,06-05-2001,0,,9.1,0.6,1.25,23,,71,0,Not Recorded,,
D,,6/18/2001,0,5.5,8.7,0.5,0.9,26,,77,0,Not Recorded,,
D,,07-05-2001,0,,8.9,0.4,1.3,26.5,,75,0,Not Recorded,,
